   677	00 08 23.17	+29 05 27.0	 2.07
   746	00 09 10.09	+59 09 00.8	 2.28
   765	00 09 24.54	-45 44 49.2	 3.88
  1067	00 13 14.15	+15 11 01.0	 2.83
  1562	00 19 25.68	-08 49 25.8	 3.56
  1599	00 20 01.91	-64 52 39.4	 4.23
  1645	00 20 35.86	+08 11 24.9	 5.38
  2021	00 25 39.20	-77 15 18.1	 2.82
  2072	00 26 12.12	-43 40 47.7	 3.93
  2081	00 26 16.87	-42 18 18.4	 2.40
  2484	00 31 32.56	-62 57 29.1	 4.36
  3092	00 39 19.60	+30 51 40.4	 3.27
  3179	00 40 30.39	+56 32 14.7	 2.24
  3419	00 43 35.23	-17 59 12.1	 2.04
  3760	00 48 17.34	+07 17 59.7	 5.92
  3881	00 49 48.83	+41 04 44.2	 4.53
  4427	00 56 42.50	+60 43 00.3	 2.15
  4436	00 56 45.10	+38 29 57.3	 3.86
  4577	00 58 36.35	-29 21 26.9	 4.30
  4889	01 02 49.09	+31 48 15.6	 5.50
  4906	01 02 56.66	+07 53 24.3	 4.27
  5165	01 06 05.11	-46 43 06.6	 3.32
  5348	01 08 23.06	-55 14 45.0	 3.94
  5364	01 08 35.26	-10 10 54.9	 3.46
  5447	01 09 43.80	+35 37 15.0	 2.07
  5742	01 13 44.94	+24 35 01.6	 4.67
  6193	01 19 27.98	+27 15 50.7	 4.74
  6537	01 24 01.45	-08 10 57.9	 3.60
  6686	01 25 48.60	+60 14 07.5	 2.66
  6867	01 28 21.94	-43 19 03.8	 3.41
  7007	01 30 10.94	+06 08 38.2	 4.84
  7083	01 31 14.98	-49 04 23.1	 3.93
  7097	01 31 28.99	+15 20 45.0	 3.62
  7588	01 37 42.75	-57 14 12.0	 0.45
  7884	01 41 25.91	+05 29 15.4	 4.45
  8102	01 44 05.13	-15 56 22.4	 3.49
  8198	01 45 23.59	+09 09 27.5	 4.26
  8645	01 51 27.61	-10 20 05.8	 3.74
  8796	01 53 04.90	+29 34 45.8	 3.42
  8832	01 53 31.77	+19 17 38.7	 3.88
  8833	01 53 33.34	+03 11 14.9	 4.61
  8837	01 53 38.82	-46 18 08.8	 4.39
  8886	01 54 23.68	+63 40 12.5	 3.35
  8903	01 54 38.35	+20 48 29.9	 2.64
  9007	01 55 56.83	-51 36 34.5	 3.69
  9236	01 58 45.87	-61 34 11.7	 2.86
  9487	02 02 02.80	+02 45 49.5	 3.82
  9640	02 03 53.92	+42 19 47.5	 2.10
  9884	02 07 10.29	+23 27 46.0	 2.01
 10064	02 09 32.52	+34 59 14.6	 3.00
 10324	02 13 00.01	+08 50 48.3	 4.36
 10559	02 15 56.30	+33 21 32.3	 5.25
 10602	02 16 30.50	-51 30 43.6	 3.56
 10826	02 19 20.79	-02 58 37.4	 6.47
 11001	02 21 45.02	-68 39 33.9	 4.08
 11345	02 25 57.01	-12 17 25.6	 4.88
 11407	02 26 59.10	-47 42 13.8	 4.24
 11484	02 28 09.52	+08 27 36.3	 4.30
 11767	02 31 47.08	+89 15 50.9	 1.97
 11783	02 32 05.28	-15 14 39.6	 4.74
 12093	02 35 52.49	+05 35 35.9	 4.87
 12387	02 39 28.95	+00 19 42.7	 4.08
 12390	02 39 33.73	-11 52 17.7	 4.83
 12394	02 39 35.22	-68 16 01.0	 4.12
 12413	02 39 47.92	-42 53 29.9	 4.74
 12484	02 40 39.58	-54 32 59.7	 5.21
 12486	02 40 39.93	-39 51 19.1	 4.11
 12706	02 43 18.12	+03 14 10.2	 3.47
 12770	02 44 07.35	-13 51 31.2	 4.24
 12828	02 44 56.37	+10 06 51.2	 4.27
 12843	02 45 05.98	-18 34 21.5	 4.47
 13147	02 49 05.36	-32 24 22.6	 4.45
 13209	02 49 58.99	+27 15 38.8	 3.61
 13254	02 50 34.91	+38 19 08.1	 4.22
 13268	02 50 41.79	+55 53 43.9	 3.77
 13701	02 56 25.60	-08 53 51.4	 3.89
 13847	02 58 15.72	-40 18 17.0	 2.88
 13954	02 59 42.90	+08 54 26.6	 4.71
 14135	03 02 16.78	+04 05 23.7	 2.54
 14146	03 02 23.59	-23 37 27.6	 4.08
 14240	03 03 36.90	-59 44 15.4	 5.12
 14328	03 04 47.79	+53 30 23.2	 2.91
